[ 2017-02-06T10:51:44+08:00 ] /test2.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000557s ]
[ 2017-02-06T10:51:44+08:00 ] /test2.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000641s ]
[ 2017-02-06T10:51:44+08:00 ] /test2.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002501s ]
[ 2017-02-06T10:51:44+08:00 ] /test2.php | NOTIC: [2] Cannot modify header information - headers already sent by (output started at /Users/pengxiaozhou/Documents/Development/Projects/Du/wwwroot/Conf/config.php:1) View.class.php 第 120 行.
[ 2017-02-06T10:51:44+08:00 ] /test2.php | NOTIC: [2] Cannot modify header information - headers already sent by (output started at /Users/pengxiaozhou/Documents/Development/Projects/Du/wwwroot/Conf/config.php:1) View.class.php 第 121 行.
[ 2017-02-06T10:51:44+08:00 ] /test2.php | NOTIC: [2] Cannot modify header information - headers already sent by (output started at /Users/pengxiaozhou/Documents/Development/Projects/Du/wwwroot/Conf/config.php:1) View.class.php 第 122 行.
[ 2017-02-06T10:51:44+08:00 ] /test2.php | INFO: Tag[ view_end ] --START--
[ 2017-02-06T10:51:44+08:00 ] /test2.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000658s ]
[ 2017-02-06T10:51:44+08:00 ] /test2.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000708s ]
[ 2017-02-06T10:51:44+08:00 ] /img/body.png | INFO: Tag[ route_check ] --START--
[ 2017-02-06T10:51:44+08:00 ] /img/body.png | INFO: Run CheckRoute Behavior [ RunTime:0.000557s ]
[ 2017-02-06T10:51:44+08:00 ] /img/body.png | INFO: Tag[ route_check ] --END-- [ RunTime:0.000624s ]
[ 2017-02-06T10:51:44+08:00 ] /img/body.png | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-02-06T10:51:44+08:00 ] /img/body.png | INFO: Tag[ app_begin ] --START--
[ 2017-02-06T10:51:44+08:00 ] /img/body.png | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000439s ]
[ 2017-02-06T10:51:44+08:00 ] /img/body.png | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000496s ]
[ 2017-02-06T10:51:44+08:00 ] /img/body.png | NOTIC: [2] session_start(): Cannot send session cookie - headers already sent by (output started at /Users/pengxiaozhou/Documents/Development/Projects/Du/wwwroot/Conf/config.php:1) functions.php 第 411 行.
[ 2017-02-06T10:51:44+08:00 ] /img/body.png | NOTIC: [2] session_start(): Cannot send session cache limiter - headers already sent (output started at /Users/pengxiaozhou/Documents/Development/Projects/Du/wwwroot/Conf/config.php:1) functions.php 第 411 行.
